model,max_tokens,max_refinement_tokens,rounds,pass_at_1,total_problems,timeouts,filename
Qwen3-4B,4096,0,1,12.5,400,0,output_t4096_r1_acc.jsonl
Qwen3-4B,4096,4096,2,15.0,400,0,output_t4096_r2_acc.jsonl
Qwen3-4B,4096,8192,3,12.75,400,0,output_t4096_r3_acc.jsonl
Qwen3-4B,8192,0,1,15.25,400,0,output_t8192_r1_acc.jsonl
Qwen3-4B,8192,0,1,0.0,400,0,output_t8192_n16_r1.jsonl
Qwen3-4B,8192,8192,2,16.0,400,0,output_t8192_r2_acc.jsonl
Qwen3-4B,8192,8192,2,0.0,400,0,output_t8192_n16_r2.jsonl
Qwen3-4B,8192,16384,3,19.5,400,0,output_t8192_r3_acc.jsonl
Qwen3-4B,8192,16384,3,0.0,400,0,output_t8192_n16_r3.jsonl
Qwen3-4B,16384,0,1,24.25,400,0,output_t16384_r1_acc.jsonl
Qwen3-4B,16384,16384,2,19.5,400,0,output_t16384_r2_acc.jsonl
Qwen3-4B,16384,32768,3,18.0,400,0,output_t16384_r3_acc.jsonl
Qwen3-4B,32768,0,1,0.0,400,0,output_t32768_n16.jsonl
Qwen3-4B-Instruct,4096,0,1,0.0,400,0,output_t4096_r1_acc.jsonl
Qwen3-4B-Instruct,4096,4096,2,0.0,400,0,output_t4096_r2_acc.jsonl
Qwen3-4B-Instruct,4096,8192,3,0.0,400,0,output_t4096_r3_acc.jsonl
Qwen3-4B-Instruct,8192,0,1,0.0,400,0,output_t8192_r1_acc.jsonl
Qwen3-4B-Instruct,8192,16384,3,0.0,400,0,output_t8192_n16_r3_Qwen3-4B-Instruct-2507.jsonl
Qwen3-4B-Instruct,16384,0,1,0.0,400,0,output_t16384_r1_acc.jsonl
Qwen3-4B-Instruct,16384,16384,2,0.0,400,0,output_t16384_r2_acc.jsonl
Qwen3-4B-Instruct,16384,32768,3,34.90625,400,0,output_t16384_n16_r3_Qwen3-4B-Instruct-2507.jsonl
Qwen3-4B-Instruct,16384,32768,3,0.0,400,0,output_t16384_r3_acc.jsonl
