model,benchmark,method,params,problems,pass@1,notes
qwen3-4b-instruct-2507,hmmt,baseline,t16384_n16_temp0.7_topp0.9,480,28.75%,1 timeout
qwen3-4b-instruct-2507,hmmt,rc,t4096_r12_n16_temp0.7_topp0.9,480,26.46%,30 problems x 16 samples
qwen3-4b-instruct-2507,imobench,baseline,t16384_n16_temp0.7_topp0.9,6400,35.56%,
qwen3-4b-instruct-2507,imobench,rc,t4096_r12_n16_temp0.7_topp0.9,6400,21.88%,400 problems x 16 samples

RC HMMT By-Round Breakdown:
round,pass@1,pass@2,pass@4,pass@8,pass@16,n
R1,10.62,13.56,17.38,20.95,23.33,480
R2,16.01,22.20,27.99,31.76,37.50,430
R3,20.66,27.28,34.87,41.26,53.85,420
R4,23.64,30.65,36.77,47.01,46.67,419
R5,23.45,31.60,40.24,47.27,50.00,413
R6,25.86,32.50,37.29,40.92,35.71,419
R7,26.68,34.21,41.87,45.44,33.33,406
R8,25.13,32.27,38.24,42.52,33.33,413
R9,27.46,34.40,40.43,47.85,46.15,401
R10,25.25,33.51,40.42,45.62,52.94,407
R11,27.33,34.99,43.22,48.11,50.00,408
R12,26.91,33.75,39.03,44.08,47.37,416
